账号,微博,时间,肺炎相关,转发,评论,点赞,mid,地址
央视新闻,#这一年有你真好#【#2019至暖时刻#】近日，@央视新闻 和@中国之声 发起了“2019十大暖新闻人物”评选活动。根据网友票选和暖新闻的热度影响力，“2019十大暖新闻人物”发布！哪个瞬间温暖了你？快来给TA写一段颁奖词吧！为爱转发！L中国之声的微博视频,12/20/2019 21:00,0,555,287,3658,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlGrJ1R6J?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#主播说联播#【#澳门是中国之傲门#】澳门地方虽小，但格局不小，#澳门回归20年#，落实一国两制的决心和力度不小。澳门背靠伟大祖国，积极融入大湾区发展，这跟的是大势，走的是大道。从坚守一国之本到善用两制之利再到多元融合发展，澳门是中国之“傲”门，骄傲的傲，澳门就是我们。转！  ...展开全文c,12/20/2019 21:59,0,2467,1122,25811,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlGPQdlVV?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,"恭喜@天涯明月2020 等2名用户获得【小米CC9 pro】, @落魄又如何 等3名用户获得【小爱音箱】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：O微博抽奖平台",12/20/2019 22:07,0,54,87,484,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlGSUuL0T?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,学习更多的知识，经历更多的挫折，积累更多的人生智慧，等到属于自己的时刻，自然会绽放出美丽的人生之花。@央视新闻 相信，2020，你会得到你想要的！带话题#给2020的一封信#发微博，一起写下你对2020的期许！,12/20/2019 22:46,0,589,401,4546,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlH932ZNN?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【散步集丨赖声川：活着，就要把每一刹那都打开】打开自己，才能在与他人的际会中感受到爱的产生，这是最重要、最美好的人生体验。央视新闻与@瞬间MomentX 推出《散步集》第五期节目：和剧作家、导演@赖声川 散步，谈“打开”。愿你#在散步中遇见自己#，打开自己，体味生活的美妙与非凡。 ...展开全文c,12/20/2019 23:07,0,539,154,1970,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlHhrqcNN?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,"【习近平应约同美国总统特朗普通电话】国家主席习近平20日晚应约同美国总统特朗普通电话。

特朗普表示，美中达成第一阶段经贸协议，对于美国、中国和整个世界都是一件好事，美中两国市场和世界对此都作出了十分积极反应。美方愿同中方保持密切沟通，争取尽快签署并予以落实。

习近平指出，中美两国在 ...展开全文c",12/21/2019 0:25,0,679,853,6142,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlHN7dW5u?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#考研#【#341万人今日考研# 此刻！转发祝福！】今天，考研！证明自己的时刻终于到来！考场上奋笔疾书的每一个字，虽不能定义你的未来，却浓缩了你最好的青春时光。加油！祝福考研同学！来年都是研究生！转！,12/21/2019 7:00,0,6053,2257,19491,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlKnbD8xu?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【#2019的9个关键字#】这一年，哪些事让你印象深刻？哪个瞬间使你难以忘怀？9个创意关键字，带你回顾2019！愿所有欢笑和悲伤，都被时光记得。转发，纪念！#2019年度汉字# @麦点盛世2016,12/21/2019 7:30,0,1739,511,6306,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlKzGoYQt?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,#这一年有你真好#【#2019兵哥哥兵姐姐暖心瞬间# 转！致敬！】当阿姨晕厥，他一个动作保持900秒；当看到有人跳楼轻生，他们挺身而出徒手接住；当路遇急症病人，她跪地救治还垫付医药费……回首2019，兵哥哥兵姐姐带给我们太多感动。看到你，我就愿意依靠着你；感谢你，我们最信赖的人。有你们真好！,12/21/2019 8:12,0,859,465,5283,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlKQqtFH1?from=page_1002062656274875_profile&wvr=6&mod=weibotime
央视新闻,【转赞！#袁隆平奇迹X4# 燃爆了】近日，袁隆平在接受采访时提到杂交水稻，连说4个“奇迹”！盐碱地亩产800公斤，这是奇迹啊；东营，平均产量过了600公斤，这是奇迹啊；台州，遇台风产量还有670公斤，这是奇迹啊；杂交稻在8年之内全国推广1亿亩，可以养活1亿人，这是奇迹啊！网友：袁老是创造奇迹的 ...展开全文c,12/21/2019 8:53,0,4265,2279,26194,4.45E+15,https://weibo.comhttps://www.weibo.com/2656274875/IlL7mmhf9?from=page_1002062656274875_profile&wvr=6&mod=weibotime
